Date,State,COVID-19 PCR tests reported,Total cases,Confirmed cases,Probable cases,Hospitalized cases,Total deaths,Confirmed deaths,Probable deaths,cases_age0_9,cases_age10_19,cases_age20_29,cases_age30_39,cases_age40_49,cases_age50_59,cases_age60_69,cases_age70_79,cases_age80_Older
06/22/2020,CONNECTICUT,401986,45899,43941,1958,138,4277,3414,863,634,1303,5463,6509,6472,7771,6445,4343,6850
06/23/2020,CONNECTICUT,400391,45913,43954,1959,124,4287,3423,864,635,1304,5466,6512,6474,7772,6445,4345,6851
06/24/2020,CONNECTICUT,406967,45994,44018,1976,122,4298,3434,864,637,1310,5489,6526,6488,7778,6451,4347,6858
06/25/2020,CONNECTICUT,414889,46059,44086,1973,127,4307,3440,867,639,1315,5502,6536,6493,7785,6458,4355,6866
06/26/2020,CONNECTICUT,427567,46206,44225,1981,106,4311,3443,868,645,1320,5530,6549,6510,7807,6474,4367,6895
06/27/2020,CONNECTICUT,436644,46303,44324,1979,103,4316,3448,868,645,1334,5556,6562,6526,7819,6482,4372,6899
06/28/2020,CONNECTICUT,442998,46362,44384,1978,99,4320,3451,869,647,1345,5575,6579,6544,7833,6494,4382,6904
06/29/2020,CONNECTICUT,464414,46514,44534,1980,98,4322,3453,869,655,1362,5610,6598,6561,7857,6509,4393,6910
06/30/2020,CONNECTICUT,475862,46572,44593,1979,100,4324,3457,867,658,1366,5625,6610,6570,7863,6517,4395,6909
07/01/2020,CONNECTICUT,487323,46646,44672,1974,101,4326,3459,867,660,1369,5637,6620,6579,7873,6526,4398,6926
07/02/2020,CONNECTICUT,497693,46717,44741,1976,95,4335,3463,872,663,1374,5657,6631,6587,7880,6529,4400,6938
07/05/2020,CONNECTICUT,522385,46976,44997,1979,69,4338,3466,872,668,1400,5734,6662,6614,7921,6551,4416,6952
07/06/2020,CONNECTICUT,528130,47033,45056,1977,83,4338,3466,872,670,1403,5750,6670,6622,7926,6565,4417,6952
07/07/2020,CONNECTICUT,535465,47108,45129,1979,88,4343,3471,872,674,1412,5761,6685,6633,7935,6574,4424,6955
07/08/2020,CONNECTICUT,543636,47209,45224,1985,90,4348,3476,872,678,1422,5792,6701,6645,7945,6579,4430,6961
07/09/2020,CONNECTICUT,556230,47287,45308,1979,77,4348,3476,872,682,1430,5807,6707,6655,7956,6589,4434,6971
07/12/2020,CONNECTICUT,587331,47510,45523,1987,74,4371,3492,879,689,1458,5863,6741,6680,7989,6607,4441,6986
07/13/2020,CONNECTICUT,589778,47530,45547,1983,66,4372,3497,875,688,1464,5871,6743,6679,7991,6608,4443,6986
07/14/2020,CONNECTICUT,602116,47636,45653,1983,67,4380,3505,875,693,1473,5892,6762,6691,8003,6621,4449,6992
07/15/2020,CONNECTICUT,613569,47750,45771,1979,66,4389,3515,874,693,1486,5925,6779,6704,8021,6641,4448,6995
